# z_Ang d_from_mol_Ang V_A_eV V_B_eV dV_eV dV_mac_eV
9.036612e+00 -4.059846e+01 -4.970200e-01 -4.215977e-01 -8.277044e-03 -8.146747e-03
9.107767e+00 -4.052731e+01 -5.560262e-01 -4.808055e-01 -8.075461e-03 -8.119404e-03
9.178921e+00 -4.045615e+01 -6.157509e-01 -5.407451e-01 -7.860586e-03 -8.091922e-03
9.250075e+00 -4.038500e+01 -6.732499e-01 -5.982876e-01 -7.817075e-03 -8.062693e-03
9.321230e+00 -4.031385e+01 -7.241347e-01 -6.492111e-01 -7.778391e-03 -8.034508e-03
9.392384e+00 -4.024269e+01 -7.639065e-01 -6.890284e-01 -7.732913e-03 -8.006226e-03
9.463539e+00 -4.017154e+01 -7.893540e-01 -7.145081e-01 -7.700726e-03 -7.977797e-03
9.534693e+00 -4.010038e+01 -7.988274e-01 -7.240198e-01 -7.662460e-03 -7.949289e-03
9.605848e+00 -4.002923e+01 -7.918094e-01 -7.170355e-01 -7.628784e-03 -7.920715e-03
9.677002e+00 -3.995807e+01 -7.686831e-01 -6.939399e-01 -7.598087e-03 -7.892104e-03
9.748156e+00 -3.988692e+01 -7.308908e-01 -6.561760e-01 -7.569596e-03 -7.863501e-03
9.819311e+00 -3.981576e+01 -6.814092e-01 -6.067196e-01 -7.544443e-03 -7.834986e-03
9.890465e+00 -3.974461e+01 -6.246110e-01 -5.499460e-01 -7.519826e-03 -7.805636e-03
9.961620e+00 -3.967346e+01 -5.650092e-01 -4.903124e-01 -7.551655e-03 -7.777762e-03
1.003277e+01 -3.960230e+01 -5.057034e-01 -4.309073e-01 -7.650927e-03 -7.749701e-03
1.010393e+01 -3.953115e+01 -4.481680e-01 -3.732814e-01 -7.741436e-03 -7.721560e-03
1.017508e+01 -3.945999e+01 -3.937241e-01 -3.188674e-01 -7.711425e-03 -7.694342e-03
1.024624e+01 -3.938884e+01 -3.454299e-01 -2.705956e-01 -7.689133e-03 -7.666085e-03
1.031739e+01 -3.931768e+01 -3.053586e-01 -2.305127e-01 -7.700756e-03 -7.637827e-03
1.038855e+01 -3.924653e+01 -2.766064e-01 -2.017767e-01 -7.684559e-03 -7.609094e-03
1.045970e+01 -3.917537e+01 -2.595038e-01 -1.846924e-01 -7.666275e-03 -7.580919e-03
1.053086e+01 -3.910422e+01 -2.530778e-01 -1.782717e-01 -7.660985e-03 -7.552930e-03
1.060201e+01 -3.903307e+01 -2.568869e-01 -1.821166e-01 -7.625043e-03 -7.524991e-03
1.067316e+01 -3.896191e+01 -2.707638e-01 -1.960112e-01 -7.607371e-03 -7.497978e-03
1.074432e+01 -3.889076e+01 -2.936008e-01 -2.188679e-01 -7.587686e-03 -7.473655e-03
1.081547e+01 -3.881960e+01 -3.226170e-01 -2.479568e-01 -7.514969e-03 -7.452174e-03
1.088663e+01 -3.874845e+01 -3.534385e-01 -2.787988e-01 -7.494465e-03 -7.430973e-03
1.095778e+01 -3.867729e+01 -3.810911e-01 -3.064729e-01 -7.473007e-03 -7.409914e-03
1.102894e+01 -3.860614e+01 -4.015657e-01 -3.269674e-01 -7.453099e-03 -7.389284e-03
1.110009e+01 -3.853499e+01 -4.120989e-01 -3.375210e-01 -7.432774e-03 -7.368530e-03
1.117124e+01 -3.846383e+01 -4.111750e-01 -3.366170e-01 -7.412776e-03 -7.347845e-03
1.124240e+01 -3.839268e+01 -3.989350e-01 -3.243980e-01 -7.391766e-03 -7.327154e-03
1.131355e+01 -3.832152e+01 -3.771138e-01 -3.025991e-01 -7.369474e-03 -7.306251e-03
1.138471e+01 -3.825037e+01 -3.486673e-01 -2.741745e-01 -7.347628e-03 -7.284990e-03
1.145586e+01 -3.817921e+01 -3.178103e-01 -2.433677e-01 -7.297337e-03 -7.263410e-03
1.152702e+01 -3.810806e+01 -2.895298e-01 -2.150669e-01 -7.317692e-03 -7.241416e-03
1.159817e+01 -3.803690e+01 -2.680000e-01 -1.935717e-01 -7.283136e-03 -7.217477e-03
1.166933e+01 -3.796575e+01 -2.557090e-01 -1.813137e-01 -7.250071e-03 -7.187125e-03
1.174048e+01 -3.789460e+01 -2.535379e-01 -1.791734e-01 -7.219285e-03 -7.153206e-03
1.181163e+01 -3.782344e+01 -2.616592e-01 -1.873272e-01 -7.186770e-03 -7.118429e-03
1.188279e+01 -3.775229e+01 -2.805681e-01 -2.062674e-01 -7.155553e-03 -7.082536e-03
1.195394e+01 -3.768113e+01 -3.112668e-01 -2.370225e-01 -7.099137e-03 -7.045099e-03
1.202510e+01 -3.760998e+01 -3.528644e-01 -2.785953e-01 -7.123932e-03 -7.006528e-03
1.209625e+01 -3.753882e+01 -4.023074e-01 -3.280661e-01 -7.096097e-03 -6.966643e-03
1.216741e+01 -3.746767e+01 -4.574643e-01 -3.832560e-01 -7.063136e-03 -6.925329e-03
1.223856e+01 -3.739651e+01 -5.154824e-01 -4.412757e-01 -7.061467e-03 -6.883219e-03
1.230972e+01 -3.732536e+01 -5.749570e-01 -5.008309e-01 -6.980941e-03 -6.839844e-03
1.238087e+01 -3.725421e+01 -6.343839e-01 -5.603448e-01 -6.893918e-03 -6.795119e-03
1.245202e+01 -3.718305e+01 -6.903394e-01 -6.163312e-01 -6.863043e-03 -6.749193e-03
1.252318e+01 -3.711190e+01 -7.382283e-01 -6.642523e-01 -6.830737e-03 -6.702012e-03
1.259433e+01 -3.704074e+01 -7.738420e-01 -6.998922e-01 -6.804571e-03 -6.653481e-03
1.266549e+01 -3.696959e+01 -7.944635e-01 -7.205515e-01 -6.766781e-03 -6.603596e-03
1.273664e+01 -3.689843e+01 -7.988578e-01 -7.249810e-01 -6.731614e-03 -6.552374e-03
1.280780e+01 -3.682728e+01 -7.867804e-01 -7.129375e-01 -6.697699e-03 -6.499655e-03
1.287895e+01 -3.675612e+01 -7.589116e-01 -6.851089e-01 -6.657466e-03 -6.445386e-03
1.295011e+01 -3.668497e+01 -7.171080e-01 -6.433500e-01 -6.612822e-03 -6.389556e-03
1.302126e+01 -3.661382e+01 -6.648623e-01 -5.911438e-01 -6.573364e-03 -6.332265e-03
1.309241e+01 -3.654266e+01 -6.067467e-01 -5.330714e-01 -6.530091e-03 -6.275113e-03
1.316357e+01 -3.647151e+01 -5.469994e-01 -4.733798e-01 -6.474391e-03 -6.214518e-03
1.323472e+01 -3.640035e+01 -4.879840e-01 -4.145538e-01 -6.285086e-03 -6.152604e-03
1.330588e+01 -3.632920e+01 -4.310432e-01 -3.576829e-01 -6.215081e-03 -6.089100e-03
1.337703e+01 -3.625804e+01 -3.781933e-01 -3.049017e-01 -6.146476e-03 -6.024224e-03
1.344819e+01 -3.618689e+01 -3.321699e-01 -2.589508e-01 -6.073937e-03 -5.958214e-03
1.351934e+01 -3.611573e+01 -2.952855e-01 -2.221242e-01 -6.016120e-03 -5.890739e-03
1.359050e+01 -3.604458e+01 -2.702144e-01 -1.971204e-01 -5.948856e-03 -5.822845e-03
1.366165e+01 -3.597343e+01 -2.564535e-01 -1.834369e-01 -5.871445e-03 -5.752096e-03
1.373280e+01 -3.590227e+01 -2.531761e-01 -1.802291e-01 -5.801857e-03 -5.679678e-03
1.380396e+01 -3.583112e+01 -2.601163e-01 -1.872411e-01 -5.730063e-03 -5.605628e-03
1.387511e+01 -3.575996e+01 -2.769153e-01 -2.041146e-01 -5.655497e-03 -5.537215e-03
1.394627e+01 -3.568881e+01 -3.020073e-01 -2.292870e-01 -5.575061e-03 -5.473827e-03
1.401742e+01 -3.561765e+01 -3.320701e-01 -2.594766e-01 -5.448326e-03 -5.409522e-03
1.408858e+01 -3.554650e+01 -3.623931e-01 -2.898766e-01 -5.371317e-03 -5.342680e-03
1.415973e+01 -3.547534e+01 -3.881681e-01 -3.157338e-01 -5.289122e-03 -5.273170e-03
1.423089e+01 -3.540419e+01 -4.057902e-01 -3.334368e-01 -5.208269e-03 -5.201238e-03
1.430204e+01 -3.533304e+01 -4.128512e-01 -3.405783e-01 -5.127773e-03 -5.127571e-03
1.437319e+01 -3.526188e+01 -4.082974e-01 -3.361118e-01 -5.040422e-03 -5.052242e-03
1.444435e+01 -3.519073e+01 -3.928118e-01 -3.207169e-01 -4.949674e-03 -4.975350e-03
1.451550e+01 -3.511957e+01 -3.685324e-01 -2.965301e-01 -4.857108e-03 -4.897254e-03
1.458666e+01 -3.504842e+01 -3.387897e-01 -2.668749e-01 -4.769549e-03 -4.818150e-03
1.465781e+01 -3.497726e+01 -3.081706e-01 -2.363000e-01 -4.725471e-03 -4.738101e-03
1.472897e+01 -3.490611e+01 -2.815668e-01 -2.098306e-01 -4.590943e-03 -4.657167e-03
1.480012e+01 -3.483495e+01 -2.626688e-01 -1.910266e-01 -4.497007e-03 -4.572601e-03
1.487128e+01 -3.476380e+01 -2.534118e-01 -1.818742e-01 -4.392385e-03 -4.487633e-03
1.494243e+01 -3.469265e+01 -2.543544e-01 -1.829094e-01 -4.299834e-03 -4.403201e-03
1.501358e+01 -3.462149e+01 -2.656870e-01 -1.943255e-01 -4.216343e-03 -4.319288e-03
1.508474e+01 -3.455034e+01 -2.880825e-01 -2.168181e-01 -4.119188e-03 -4.235739e-03
1.515589e+01 -3.447918e+01 -3.223930e-01 -2.512039e-01 -4.043892e-03 -4.152705e-03
1.522705e+01 -3.440803e+01 -3.666032e-01 -2.955178e-01 -3.940240e-03 -4.069916e-03
1.529820e+01 -3.433687e+01 -4.180570e-01 -3.470745e-01 -3.837273e-03 -3.987760e-03
1.536936e+01 -3.426572e+01 -4.742950e-01 -4.034189e-01 -3.730878e-03 -3.905602e-03
1.544051e+01 -3.419457e+01 -5.331439e-01 -4.620158e-01 -3.982887e-03 -3.823449e-03
1.551166e+01 -3.412341e+01 -5.928065e-01 -5.215328e-01 -4.128501e-03 -3.741406e-03
1.558282e+01 -3.405226e+01 -6.515582e-01 -5.804129e-01 -4.000172e-03 -3.659070e-03
1.565397e+01 -3.398110e+01 -7.054533e-01 -6.344529e-01 -3.855154e-03 -3.580196e-03
1.572513e+01 -3.390995e+01 -7.498575e-01 -6.790096e-01 -3.702804e-03 -3.501771e-03
1.579628e+01 -3.383879e+01 -7.809787e-01 -7.102659e-01 -3.567621e-03 -3.423879e-03
1.586744e+01 -3.376764e+01 -7.966143e-01 -7.260174e-01 -3.451750e-03 -3.346477e-03
1.593859e+01 -3.369648e+01 -7.958552e-01 -7.253681e-01 -3.341839e-03 -3.269059e-03
1.600975e+01 -3.362533e+01 -7.787334e-01 -7.083507e-01 -3.237531e-03 -3.191238e-03
1.608090e+01 -3.355418e+01 -7.462492e-01 -6.759608e-01 -3.143176e-03 -3.113393e-03
1.615205e+01 -3.348302e+01 -7.007324e-01 -6.305341e-01 -3.053114e-03 -3.035629e-03
1.622321e+01 -3.341187e+01 -6.461260e-01 -5.760096e-01 -2.971157e-03 -2.958012e-03
1.629436e+01 -3.334071e+01 -5.870690e-01 -5.170358e-01 -2.888069e-03 -2.879666e-03
1.636552e+01 -3.326956e+01 -5.273691e-01 -4.575550e-01 -2.668932e-03 -2.802761e-03
1.643667e+01 -3.319840e+01 -4.687893e-01 -3.991826e-01 -2.461538e-03 -2.725896e-03
1.650783e+01 -3.312725e+01 -4.127608e-01 -3.432000e-01 -2.415642e-03 -2.647637e-03
1.657898e+01 -3.305609e+01 -3.617840e-01 -2.922685e-01 -2.370372e-03 -2.570552e-03
1.665014e+01 -3.298494e+01 -3.182097e-01 -2.487503e-01 -2.314225e-03 -2.493093e-03
1.672129e+01 -3.291379e+01 -2.848255e-01 -2.154007e-01 -2.279595e-03 -2.415577e-03
1.679244e+01 -3.284263e+01 -2.633482e-01 -1.939796e-01 -2.223372e-03 -2.335733e-03
1.686360e+01 -3.277148e+01 -2.528705e-01 -1.835509e-01 -2.174407e-03 -2.255776e-03
1.693475e+01 -3.270032e+01 -2.527278e-01 -1.834778e-01 -2.104744e-03 -2.175603e-03
1.700591e+01 -3.262917e+01 -2.627559e-01 -1.935775e-01 -2.033189e-03 -2.095178e-03
1.707706e+01 -3.255801e+01 -2.823356e-01 -2.132269e-01 -1.963541e-03 -2.003068e-03
1.714822e+01 -3.248686e+01 -3.093750e-01 -2.403599e-01 -1.869947e-03 -1.901320e-03
1.721937e+01 -3.241570e+01 -3.400441e-01 -2.709999e-01 -1.898989e-03 -1.799251e-03
1.729053e+01 -3.234455e+01 -3.694142e-01 -3.004268e-01 -1.842216e-03 -1.697239e-03
